source,bracket,control,OA,macro_F1,mean_IoU,kappa,n_cells,total_pixels
embedding_v2,2017_2019,False,0.6507,0.39385,0.30645,0.5415,36,4086351
embedding_v3,2017_2019,False,0.58729,0.36683,0.28667,0.48152,36,4086351
embedding_v4,2017_2019,False,0.08391,0.07004,0.04091,0.01075,36,4086351
embedding_v5,2017_2019,False,0.5914,0.36009,0.28209,0.48333,36,4086351
embedding_v6,2017_2019,False,0.16488,0.10577,0.05895,0.06097,36,4086351
spectral_specall,2017_2019,False,0.52101,0.34817,0.2642,0.40383,36,4086351
embedding_v2,2018_2020,True,0.71736,0.38968,0.3086,0.58854,36,4084676
embedding_v3,2018_2020,True,0.69792,0.38587,0.30665,0.56963,36,4084676
embedding_v4,2018_2020,True,0.63389,0.29076,0.21275,0.46351,36,4084676
embedding_v5,2018_2020,True,0.64716,0.36201,0.28677,0.51412,36,4084676
embedding_v6,2018_2020,True,0.19331,0.1048,0.06004,0.0823,36,4084676
spectral_specall,2018_2020,True,0.69274,0.39019,0.30389,0.56039,36,4084676
embedding_v2,2019_2021,False,0.60846,0.39713,0.30636,0.49674,36,4072026
embedding_v3,2019_2021,False,0.60473,0.42539,0.29728,0.49373,36,4072026
embedding_v4,2019_2021,False,0.28489,0.20362,0.12974,0.17451,36,4072026
embedding_v5,2019_2021,False,0.54828,0.36959,0.28501,0.44198,36,4072026
embedding_v6,2019_2021,False,0.07088,0.05927,0.03213,0.01455,36,4072026
spectral_specall,2019_2021,False,0.54751,0.35068,0.2631,0.42982,34,3745032
embedding_v2,2020_2022,False,0.60072,0.36729,0.28635,0.46223,36,4082109
embedding_v3,2020_2022,False,0.63249,0.38135,0.30012,0.49611,36,4082109
embedding_v4,2020_2022,False,0.06572,0.07521,0.04329,0.02066,36,4082109
embedding_v5,2020_2022,False,0.52128,0.3512,0.27106,0.3933,36,4082109
embedding_v6,2020_2022,False,0.14088,0.0959,0.05257,0.03801,36,4082109
spectral_specall,2020_2022,False,0.65868,0.36755,0.28638,0.5245,32,3493756
embedding_v2,2021_2023,False,0.71984,0.39507,0.3112,0.58787,36,4079815
embedding_v3,2021_2023,False,0.65416,0.41164,0.29361,0.52202,36,4079815
embedding_v4,2021_2023,False,0.15754,0.09222,0.05119,0.03316,36,4079815
embedding_v5,2021_2023,False,0.65922,0.40502,0.2878,0.52379,36,4079815
embedding_v6,2021_2023,False,0.07907,0.06589,0.03511,0.00607,36,4079815
spectral_specall,2021_2023,False,0.51336,0.32568,0.23997,0.38491,30,3346244
embedding_v2,pooled,False,0.65944,0.38317,0.30089,0.5356,180,20404977
embedding_v3,pooled,False,0.63533,0.38082,0.29892,0.51393,180,20404977
embedding_v4,pooled,False,0.24519,0.16162,0.09632,0.12305,180,20404977
embedding_v5,pooled,False,0.59349,0.36528,0.2847,0.47187,180,20404977
embedding_v6,pooled,False,0.12986,0.08867,0.04858,0.03967,180,20404977
spectral_specall,pooled,False,0.58798,0.36237,0.27531,0.46054,168,18756059
