,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,3483,3226,63,3649,58,1515,0,50,1235,13867
development,35,496,14,354,6,1362,13,26,30,1840
forest,639,447,9430,1687602,28463,71886,851,5095,898,45288
urban,1100,237,11319,70308,3106,40246,1942,2104,629,37042
water,143,4,147176,160645,435,34789,4179,380,402,15665
ag,25614,2896,15557,172318,8104,260495,8328,18583,4928,153980
grass_shrub,1685,3336,6139,239941,5618,67602,2575,5568,1570,80908
wetland,3144,3260,12721,378515,15684,91502,2834,9411,5517,55550
beaver,4,0,14,1118,105,393,0,67,214,652
insect_disease,10,21,4,5488,158,271,0,36,84,142
