variant,bracket,control,class_code,class_name,precision,recall,f1,iou,support,cells_present,low_support,OA,macro_F1,mean_IoU,kappa,n_cells,total_pixels
v2,2017_2019,False,1,harvest,0.26948,0.06307,0.10221,0.05386,27146,16,False,0.6454,0.38908,0.30276,0.53429,36,4086436
v2,2017_2019,False,2,development,0.23267,0.21145,0.22155,0.12458,4176,12,False,0.6454,0.38908,0.30276,0.53429,36,4086436
v2,2017_2019,False,3,forest,0.86299,0.73903,0.79621,0.66142,1850599,35,False,0.6454,0.38908,0.30276,0.53429,36,4086436
v2,2017_2019,False,4,urban,0.36184,0.80177,0.49864,0.33212,168033,35,False,0.6454,0.38908,0.30276,0.53429,36,4086436
v2,2017_2019,False,5,water,0.9259,0.96875,0.94684,0.89905,363818,28,False,0.6454,0.38908,0.30276,0.53429,36,4086436
v2,2017_2019,False,6,ag,0.79982,0.7177,0.75654,0.60841,670803,21,False,0.6454,0.38908,0.30276,0.53429,36,4086436
v2,2017_2019,False,7,grass_shrub,0.18511,0.09738,0.12763,0.06816,414942,30,False,0.6454,0.38908,0.30276,0.53429,36,4086436
v2,2017_2019,False,8,wetland,0.41881,0.44491,0.43147,0.27508,578138,32,False,0.6454,0.38908,0.30276,0.53429,36,4086436
v2,2017_2019,False,9,beaver,0.00306,0.34944,0.00606,0.00304,2567,8,False,0.6454,0.38908,0.30276,0.53429,36,4086436
v2,2017_2019,False,10,insect_disease,0.00291,0.00499,0.00368,0.00184,6214,5,False,0.6454,0.38908,0.30276,0.53429,36,4086436
v3,2017_2019,False,1,harvest,0.31168,0.02899,0.05305,0.02725,27146,16,False,0.58043,0.35981,0.28087,0.47296,36,4086436
v3,2017_2019,False,2,development,0.00898,0.07184,0.01596,0.00804,4176,12,False,0.58043,0.35981,0.28087,0.47296,36,4086436
v3,2017_2019,False,3,forest,0.88217,0.62338,0.73053,0.57546,1850599,35,False,0.58043,0.35981,0.28087,0.47296,36,4086436
v3,2017_2019,False,4,urban,0.41225,0.75539,0.5334,0.3637,168033,35,False,0.58043,0.35981,0.28087,0.47296,36,4086436
v3,2017_2019,False,5,water,0.91519,0.97059,0.94208,0.89049,363818,28,False,0.58043,0.35981,0.28087,0.47296,36,4086436
v3,2017_2019,False,6,ag,0.80768,0.72009,0.76138,0.6147,670803,21,False,0.58043,0.35981,0.28087,0.47296,36,4086436
v3,2017_2019,False,7,grass_shrub,0.22658,0.20265,0.21395,0.11979,414942,30,False,0.58043,0.35981,0.28087,0.47296,36,4086436
v3,2017_2019,False,8,wetland,0.41424,0.29228,0.34273,0.20681,578138,32,False,0.58043,0.35981,0.28087,0.47296,36,4086436
v3,2017_2019,False,9,beaver,0.00152,0.3954,0.00303,0.00152,2567,8,False,0.58043,0.35981,0.28087,0.47296,36,4086436
v3,2017_2019,False,10,insect_disease,0.00261,0.00161,0.00199,0.001,6214,5,False,0.58043,0.35981,0.28087,0.47296,36,4086436
v4,2017_2019,False,1,harvest,0.09714,0.12831,0.11057,0.05852,27146,16,False,0.08736,0.07117,0.04167,0.01207,36,4086436
v4,2017_2019,False,2,development,0.03562,0.11877,0.05481,0.02818,4176,12,False,0.08736,0.07117,0.04167,0.01207,36,4086436
v4,2017_2019,False,3,forest,0.04658,0.0051,0.00919,0.00461,1850599,35,False,0.08736,0.07117,0.04167,0.01207,36,4086436
v4,2017_2019,False,4,urban,0.02585,0.41842,0.04869,0.02495,168033,35,False,0.08736,0.07117,0.04167,0.01207,36,4086436
v4,2017_2019,False,5,water,0.00705,0.0012,0.00204,0.00102,363818,28,False,0.08736,0.07117,0.04167,0.01207,36,4086436
v4,2017_2019,False,6,ag,0.45696,0.38833,0.41986,0.26571,670803,21,False,0.08736,0.07117,0.04167,0.01207,36,4086436
v4,2017_2019,False,7,grass_shrub,0.12426,0.00621,0.01182,0.00595,414942,30,False,0.08736,0.07117,0.04167,0.01207,36,4086436
v4,2017_2019,False,8,wetland,0.22776,0.01628,0.03038,0.01543,578138,32,False,0.08736,0.07117,0.04167,0.01207,36,4086436
v4,2017_2019,False,9,beaver,0.0138,0.08337,0.02368,0.01198,2567,8,False,0.08736,0.07117,0.04167,0.01207,36,4086436
v4,2017_2019,False,10,insect_disease,0.00035,0.02285,0.00069,0.00035,6214,5,False,0.08736,0.07117,0.04167,0.01207,36,4086436
v5,2017_2019,False,1,harvest,0.00927,0.00317,0.00472,0.00237,27146,16,False,0.58428,0.35368,0.27692,0.47455,36,4086436
v5,2017_2019,False,2,development,0.00666,0.10393,0.01251,0.00629,4176,12,False,0.58428,0.35368,0.27692,0.47455,36,4086436
v5,2017_2019,False,3,forest,0.86801,0.62786,0.72866,0.57314,1850599,35,False,0.58428,0.35368,0.27692,0.47455,36,4086436
v5,2017_2019,False,4,urban,0.38764,0.78186,0.51831,0.34981,168033,35,False,0.58428,0.35368,0.27692,0.47455,36,4086436
v5,2017_2019,False,5,water,0.91829,0.96675,0.9419,0.89017,363818,28,False,0.58428,0.35368,0.27692,0.47455,36,4086436
v5,2017_2019,False,6,ag,0.81378,0.70566,0.75587,0.60755,670803,21,False,0.58428,0.35368,0.27692,0.47455,36,4086436
v5,2017_2019,False,7,grass_shrub,0.19311,0.21886,0.20518,0.11432,414942,30,False,0.58428,0.35368,0.27692,0.47455,36,4086436
v5,2017_2019,False,8,wetland,0.45155,0.30621,0.36494,0.2232,578138,32,False,0.58428,0.35368,0.27692,0.47455,36,4086436
v5,2017_2019,False,9,beaver,0.00172,0.33853,0.00343,0.00172,2567,8,False,0.58428,0.35368,0.27692,0.47455,36,4086436
v5,2017_2019,False,10,insect_disease,0.00175,0.00097,0.00124,0.00062,6214,5,False,0.58428,0.35368,0.27692,0.47455,36,4086436
v6,2017_2019,False,1,harvest,0.00665,0.0911,0.0124,0.00624,27146,16,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,2,development,0.00522,0.34602,0.01029,0.00517,4176,12,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,3,forest,0.6551,0.16392,0.26222,0.1509,1850599,35,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,4,urban,0.03042,0.08315,0.04454,0.02278,168033,35,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,5,water,0.14672,0.2063,0.17148,0.09378,363818,28,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,6,ag,0.35875,0.21816,0.27132,0.15696,670803,21,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,7,grass_shrub,0.13112,0.14667,0.13846,0.07438,414942,30,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,8,wetland,0.16691,0.12241,0.14124,0.07599,578138,32,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,9,beaver,0.00095,0.12388,0.00189,0.00094,2567,8,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v6,2017_2019,False,10,insect_disease,0.00118,0.07097,0.00232,0.00116,6214,5,False,0.16519,0.10562,0.05883,0.06143,36,4086436
v2,2018_2020,True,1,harvest,0.55463,0.14155,0.22554,0.1271,73231,19,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,2,development,0.0092,0.11672,0.01705,0.0086,1705,11,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,3,forest,0.86113,0.83041,0.84549,0.73234,2089835,36,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,4,urban,0.33588,0.63534,0.43944,0.28159,109663,36,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,5,water,0.93802,0.93971,0.93886,0.88477,228033,28,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,6,ag,0.86801,0.81278,0.83949,0.72338,941638,22,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,7,grass_shrub,0.34684,0.29166,0.31687,0.18826,280354,32,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,8,wetland,0.52598,0.20138,0.29125,0.17044,346951,22,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,9,beaver,0.00292,0.21274,0.00576,0.00289,1993,6,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v2,2018_2020,True,10,insect_disease,0.00929,0.16952,0.01761,0.00888,10801,11,False,0.72209,0.39374,0.31283,0.59506,36,4084204
v3,2018_2020,True,1,harvest,0.15186,0.10242,0.12233,0.06515,73231,19,False,0.70204,0.3893,0.3103,0.57527,36,4084204
v3,2018_2020,True,2,development,0.0002,0.00352,0.00039,0.00019,1705,11,False,0.70204,0.3893,0.3103,0.57527,36,4084204
v3,2018_2020,True,3,forest,0.86334,0.77872,0.81885,0.69326,2089835,36,False,0.70204,0.3893,0.3103,0.57527,36,4084204
