,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,9020,596,48265,596,17,301,5248,1287,6581,2106
development,6,81,463,570,5,472,1,19,1,25
forest,108106,6734,1468219,6221,3255,10175,80496,13722,163744,213873
urban,3725,2154,12431,66325,1077,9961,3566,3046,2874,1050
water,90,214,4906,713,213419,220,64,2958,5823,601
ag,3014,34269,52695,81315,1907,763855,19312,11149,1068,2527
grass_shrub,5951,5640,45017,17456,192,71891,69691,18286,13834,4334
wetland,10209,4414,64808,16966,6621,17861,24556,49589,141027,17310
beaver,60,65,600,195,101,11,345,423,1157,19
insect_disease,1345,60,10458,429,141,375,737,452,3422,2095
