variant,bracket,control,class_code,class_name,precision,recall,f1,iou,support,cells_present,low_support,OA,baseline_OA,macro_F1,mean_IoU,kappa,n_cells,total_pixels
v2,2017_2019,False,1,Stable,0.99238,0.92826,0.95925,0.92169,4034674,36,False,0.91696,0.98688,0.25588,0.21945,0.0663,36,4088300
v2,2017_2019,False,2,Harvest,0.26948,0.05975,0.09781,0.05142,28653,17,False,0.91696,0.98688,0.25588,0.21945,0.0663,36,4088300
v2,2017_2019,False,3,Development,0.25105,0.18823,0.21515,0.12054,5063,13,False,0.91696,0.98688,0.25588,0.21945,0.0663,36,4088300
v2,2017_2019,False,4,Insect/Disease,0.0015,0.00087,0.0011,0.00055,18485,7,False,0.91696,0.98688,0.25588,0.21945,0.0663,36,4088300
v2,2017_2019,False,5,Beaver,0.00306,0.62947,0.00608,0.00305,1425,7,False,0.91696,0.98688,0.25588,0.21945,0.0663,36,4088300
v3,2017_2019,False,1,Stable,0.99308,0.83204,0.90545,0.82724,4034674,36,False,0.82168,0.98688,0.19694,0.17353,0.03048,36,4088300
v3,2017_2019,False,2,Harvest,0.31168,0.02747,0.05048,0.0259,28653,17,False,0.82168,0.98688,0.19694,0.17353,0.03048,36,4088300
v3,2017_2019,False,3,Development,0.01424,0.09402,0.02473,0.01252,5063,13,False,0.82168,0.98688,0.19694,0.17353,0.03048,36,4088300
v3,2017_2019,False,4,Insect/Disease,0.00287,0.0006,0.00099,0.00049,18485,7,False,0.82168,0.98688,0.19694,0.17353,0.03048,36,4088300
v3,2017_2019,False,5,Beaver,0.00152,0.71228,0.00303,0.00152,1425,7,False,0.82168,0.98688,0.19694,0.17353,0.03048,36,4088300
v4,2017_2019,False,1,Stable,0.99234,0.88979,0.93827,0.88372,4034674,36,False,0.87919,0.98688,0.22503,0.19623,0.04262,36,4088300
v4,2017_2019,False,2,Harvest,0.09733,0.1218,0.1082,0.05719,28653,17,False,0.87919,0.98688,0.22503,0.19623,0.04262,36,4088300
v4,2017_2019,False,3,Development,0.03647,0.10014,0.05347,0.02747,5063,13,False,0.87919,0.98688,0.22503,0.19623,0.04262,36,4088300
v4,2017_2019,False,4,Insect/Disease,0.0004,0.00871,0.00076,0.00038,18485,7,False,0.87919,0.98688,0.22503,0.19623,0.04262,36,4088300
v4,2017_2019,False,5,Beaver,0.01335,0.14526,0.02444,0.01237,1425,7,False,0.87919,0.98688,0.22503,0.19623,0.04262,36,4088300
v5,2017_2019,False,1,Stable,0.98932,0.85977,0.92001,0.85186,4034674,36,False,0.84886,0.98688,0.18887,0.17282,0.01546,36,4088300
v5,2017_2019,False,2,Harvest,0.00927,0.003,0.00454,0.00227,28653,17,False,0.84886,0.98688,0.18887,0.17282,0.01546,36,4088300
v5,2017_2019,False,3,Development,0.00823,0.10606,0.01527,0.0077,5063,13,False,0.84886,0.98688,0.18887,0.17282,0.01546,36,4088300
v5,2017_2019,False,4,Insect/Disease,0.00349,0.00065,0.00109,0.00055,18485,7,False,0.84886,0.98688,0.18887,0.17282,0.01546,36,4088300
v5,2017_2019,False,5,Beaver,0.00172,0.60982,0.00344,0.00172,1425,7,False,0.84886,0.98688,0.18887,0.17282,0.01546,36,4088300
v6,2017_2019,False,1,Stable,0.98826,0.66892,0.79782,0.66365,4034674,36,False,0.66138,0.98688,0.16528,0.1356,0.00292,36,4088300
v6,2017_2019,False,2,Harvest,0.0071,0.09217,0.01318,0.00663,28653,17,False,0.66138,0.98688,0.16528,0.1356,0.00292,36,4088300
v6,2017_2019,False,3,Development,0.00537,0.2935,0.01054,0.0053,5063,13,False,0.66138,0.98688,0.16528,0.1356,0.00292,36,4088300
v6,2017_2019,False,4,Insect/Disease,0.002,0.04052,0.00382,0.00191,18485,7,False,0.66138,0.98688,0.16528,0.1356,0.00292,36,4088300
v6,2017_2019,False,5,Beaver,0.00053,0.12421,0.00105,0.00053,1425,7,False,0.66138,0.98688,0.16528,0.1356,0.00292,36,4088300
v2,2018_2020,True,1,Stable,0.98092,0.91085,0.94459,0.895,3990644,36,False,0.89238,0.976,0.24342,0.20907,0.0653,36,4088794
v2,2018_2020,True,2,Harvest,0.54884,0.13898,0.2218,0.12473,74017,18,False,0.89238,0.976,0.24342,0.20907,0.0653,36,4088794
v2,2018_2020,True,3,Development,0.00907,0.1199,0.01686,0.0085,1643,9,False,0.89238,0.976,0.24342,0.20907,0.0653,36,4088794
v2,2018_2020,True,4,Insect/Disease,0.01415,0.14297,0.02576,0.01305,19514,12,False,0.89238,0.976,0.24342,0.20907,0.0653,36,4088794
v2,2018_2020,True,5,Beaver,0.00414,0.20262,0.00812,0.00407,2976,7,False,0.89238,0.976,0.24342,0.20907,0.0653,36,4088794
v3,2018_2020,True,1,Stable,0.97846,0.87598,0.92439,0.85941,3990644,36,False,0.85779,0.976,0.21504,0.18775,0.02979,36,4088794
v3,2018_2020,True,2,Harvest,0.14965,0.09986,0.11978,0.06371,74017,18,False,0.85779,0.976,0.21504,0.18775,0.02979,36,4088794
v3,2018_2020,True,3,Development,0.0002,0.00365,0.00039,0.00019,1643,9,False,0.85779,0.976,0.21504,0.18775,0.02979,36,4088794
v3,2018_2020,True,4,Insect/Disease,0.01112,0.1874,0.021,0.01061,19514,12,False,0.85779,0.976,0.21504,0.18775,0.02979,36,4088794
v3,2018_2020,True,5,Beaver,0.00496,0.18078,0.00965,0.00485,2976,7,False,0.85779,0.976,0.21504,0.18775,0.02979,36,4088794
v4,2018_2020,True,1,Stable,0.98483,0.96229,0.97343,0.94823,3990644,36,False,0.94221,0.976,0.24598,0.21735,0.16215,36,4088794
v4,2018_2020,True,2,Harvest,0.27981,0.14279,0.18909,0.10442,74017,18,False,0.94221,0.976,0.24598,0.21735,0.16215,36,4088794
v4,2018_2020,True,3,Development,0.00679,0.25685,0.01324,0.00666,1643,9,False,0.94221,0.976,0.24598,0.21735,0.16215,36,4088794
v4,2018_2020,True,4,Insect/Disease,0.01435,0.05278,0.02256,0.01141,19514,12,False,0.94221,0.976,0.24598,0.21735,0.16215,36,4088794
v4,2018_2020,True,5,Beaver,0.01842,0.11022,0.03157,0.01604,2976,7,False,0.94221,0.976,0.24598,0.21735,0.16215,36,4088794
v5,2018_2020,True,1,Stable,0.97839,0.81128,0.88703,0.797,3990644,36,False,0.79483,0.976,0.19925,0.1707,0.01904,36,4088794
v5,2018_2020,True,2,Harvest,0.06372,0.12186,0.08369,0.04367,74017,18,False,0.79483,0.976,0.19925,0.1707,0.01904,36,4088794
v5,2018_2020,True,3,Development,0.00149,0.0493,0.0029,0.00145,1643,9,False,0.79483,0.976,0.19925,0.1707,0.01904,36,4088794
v5,2018_2020,True,4,Insect/Disease,0.00859,0.10736,0.0159,0.00802,19514,12,False,0.79483,0.976,0.19925,0.1707,0.01904,36,4088794
v5,2018_2020,True,5,Beaver,0.0034,0.38878,0.00675,0.00338,2976,7,False,0.79483,0.976,0.19925,0.1707,0.01904,36,4088794
v6,2018_2020,True,1,Stable,0.98127,0.70308,0.8192,0.69376,3990644,36,False,0.68869,0.976,0.17443,0.14413,0.01345,36,4088794
v6,2018_2020,True,2,Harvest,0.02308,0.10622,0.03791,0.01932,74017,18,False,0.68869,0.976,0.17443,0.14413,0.01345,36,4088794
v6,2018_2020,True,3,Development,0.00123,0.24285,0.00244,0.00122,1643,9,False,0.68869,0.976,0.17443,0.14413,0.01345,36,4088794
v6,2018_2020,True,4,Insect/Disease,0.00539,0.08015,0.01011,0.00508,19514,12,False,0.68869,0.976,0.17443,0.14413,0.01345,36,4088794
v6,2018_2020,True,5,Beaver,0.00125,0.11526,0.00248,0.00124,2976,7,False,0.68869,0.976,0.17443,0.14413,0.01345,36,4088794
v2,2019_2021,False,1,Stable,0.9921,0.81728,0.89624,0.81199,4049375,36,False,0.81097,0.99056,0.22596,0.18851,0.0135,36,4087975
v2,2019_2021,False,2,Harvest,0.24806,0.19964,0.22123,0.12437,23583,19,False,0.81097,0.99056,0.22596,0.18851,0.0135,36,4087975
v2,2019_2021,False,3,Development,0.00144,0.10385,0.00283,0.00142,1454,11,False,0.81097,0.99056,0.22596,0.18851,0.0135,36,4087975
v2,2019_2021,False,4,Insect/Disease,0.01231,0.00469,0.00679,0.00341,12363,8,False,0.81097,0.99056,0.22596,0.18851,0.0135,36,4087975
v2,2019_2021,False,5,Beaver,0.00136,0.70667,0.00272,0.00136,1200,6,False,0.81097,0.99056,0.22596,0.18851,0.0135,36,4087975
v3,2019_2021,False,1,Stable,0.99145,0.79859,0.88463,0.79313,4049375,36,False,0.79175,0.99056,0.2484,0.17009,0.00635,36,4087975
v3,2019_2021,False,2,Harvest,0.13645,0.08303,0.10323,0.05443,23583,19,False,0.79175,0.99056,0.2484,0.17009,0.00635,36,4087975
v3,2019_2021,False,3,Development,0.00187,0.07497,0.00364,0.00182,1454,11,False,0.79175,0.99056,0.2484,0.17009,0.00635,36,4087975
v3,2019_2021,False,4,Insect/Disease,0.0,0.0,,0.0,12363,8,False,0.79175,0.99056,0.2484,0.17009,0.00635,36,4087975
v3,2019_2021,False,5,Beaver,0.00105,0.65583,0.00209,0.00104,1200,6,False,0.79175,0.99056,0.2484,0.17009,0.00635,36,4087975
v4,2019_2021,False,1,Stable,0.99651,0.80547,0.89086,0.8032,4049375,36,False,0.79896,0.99056,0.19703,0.17042,0.02755,36,4087975
v4,2019_2021,False,2,Harvest,0.05544,0.15401,0.08153,0.0425,23583,19,False,0.79896,0.99056,0.19703,0.17042,0.02755,36,4087975
v4,2019_2021,False,3,Development,0.00054,0.24347,0.00108,0.00054,1454,11,False,0.79896,0.99056,0.19703,0.17042,0.02755,36,4087975
v4,2019_2021,False,4,Insect/Disease,0.00441,0.00121,0.0019,0.00095,12363,8,False,0.79896,0.99056,0.19703,0.17042,0.02755,36,4087975
v4,2019_2021,False,5,Beaver,0.00495,0.3825,0.00978,0.00492,1200,6,False,0.79896,0.99056,0.19703,0.17042,0.02755,36,4087975
v5,2019_2021,False,1,Stable,0.99026,0.74753,0.85195,0.74208,4049375,36,False,0.74128,0.99056,0.18057,0.15362,0.00153,36,4087975
v5,2019_2021,False,2,Harvest,0.03059,0.10338,0.04721,0.02417,23583,19,False,0.74128,0.99056,0.18057,0.15362,0.00153,36,4087975
v5,2019_2021,False,3,Development,0.00062,0.04264,0.00121,0.00061,1454,11,False,0.74128,0.99056,0.18057,0.15362,0.00153,36,4087975
v5,2019_2021,False,4,Insect/Disease,0.0009,0.00049,0.00063,0.00032,12363,8,False,0.74128,0.99056,0.18057,0.15362,0.00153,36,4087975
v5,2019_2021,False,5,Beaver,0.00092,0.64667,0.00184,0.00092,1200,6,False,0.74128,0.99056,0.18057,0.15362,0.00153,36,4087975
v6,2019_2021,False,1,Stable,0.99171,0.45426,0.6231,0.45254,4049375,36,False,0.45141,0.99056,0.12862,0.09252,0.00115,36,4087975
