version,n,W,pixels_per_cell,mean_total_px,census_oa,mean_oa,sd_oa,oa_lo,oa_hi,bias_oa,census_mf1,mean_mf1,sd_mf1,census_kappa,mean_kappa,sd_kappa,sd_binom_oa,design_effect,sd_ratio,eff_sample_size
v2,1,1,1,179.7,0.6627,0.6635,0.03315,0.6,0.7264,0.00082,0.3811,0.6047,0.04448,0.5366,0.5359,0.04113,0.035265,0.884,0.94,203.4
v2,2,1,2,359.4,0.6627,0.6634,0.02258,0.6166,0.7056,0.00072,0.3811,0.5911,0.04267,0.5366,0.5372,0.02778,0.02494,0.819,0.905,438.6
v2,5,1,5,898.5,0.6627,0.6638,0.01486,0.6311,0.6912,0.00109,0.3811,0.5609,0.04369,0.5366,0.5377,0.01831,0.015773,0.888,0.942,1012.1
v2,10,1,10,1796.8,0.6627,0.6616,0.01027,0.6407,0.6813,-0.00111,0.3811,0.5225,0.05351,0.5366,0.5351,0.01315,0.011154,0.847,0.92,2121.0
v2,25,1,25,4492.4,0.6627,0.6624,0.00629,0.6512,0.673,-0.00028,0.3811,0.473,0.04602,0.5366,0.5364,0.00785,0.007054,0.795,0.892,5650.0
v2,50,1,50,8984.5,0.6627,0.663,0.00441,0.6539,0.6714,0.00032,0.3811,0.4369,0.04069,0.5366,0.5371,0.00564,0.004988,0.781,0.884,11507.5
v2,1,3,9,1617.5,0.6627,0.6622,0.02465,0.6223,0.7081,-0.00051,0.3811,0.5858,0.04643,0.5366,0.535,0.0307,0.011756,4.396,2.097,368.0
v2,2,3,18,3234.7,0.6627,0.6645,0.01819,0.6276,0.6976,0.00187,0.3811,0.5633,0.04869,0.5366,0.5387,0.0235,0.008313,4.787,2.188,675.7
v2,5,3,45,8086.4,0.6627,0.6636,0.01267,0.6363,0.6876,0.00091,0.3811,0.5034,0.05317,0.5366,0.5376,0.01559,0.005258,5.804,2.409,1393.2
v2,10,3,90,16175.2,0.6627,0.6626,0.00879,0.6455,0.6795,-0.00011,0.3811,0.4562,0.04201,0.5366,0.5367,0.01093,0.003717,5.595,2.365,2891.2
v2,25,3,225,40434.7,0.6627,0.664,0.00556,0.6524,0.6741,0.00131,0.3811,0.4131,0.02999,0.5366,0.538,0.00722,0.002351,5.585,2.363,7240.1
v2,50,3,450,80866.2,0.6627,0.6639,0.00369,0.6569,0.671,0.00123,0.3811,0.3941,0.01965,0.5366,0.5378,0.00428,0.001663,4.938,2.222,16377.2
v2,1,5,25,4492.9,0.6627,0.6631,0.02507,0.6142,0.7109,0.00042,0.3811,0.5717,0.05298,0.5366,0.5356,0.02992,0.007054,12.636,3.555,355.6
v2,2,5,50,8983.5,0.6627,0.666,0.01637,0.6367,0.6966,0.00332,0.3811,0.5263,0.05764,0.5366,0.5401,0.02005,0.004988,10.769,3.282,834.2
v2,5,5,125,22466.6,0.6627,0.6652,0.01121,0.642,0.6845,0.00248,0.3811,0.4712,0.05197,0.5366,0.5396,0.01441,0.003154,12.636,3.555,1778.0
v2,10,5,250,44928.2,0.6627,0.6647,0.00794,0.6489,0.68,0.00206,0.3811,0.4291,0.03873,0.5366,0.5392,0.00982,0.002231,12.681,3.561,3542.9
v2,25,5,625,112319.3,0.6627,0.6641,0.0048,0.6536,0.6738,0.00145,0.3811,0.3929,0.01946,0.5366,0.5379,0.00596,0.001411,11.595,3.405,9686.6
v2,50,5,1250,224635.1,0.6627,0.6643,0.00341,0.658,0.6713,0.00163,0.3811,0.3838,0.00725,0.5366,0.5384,0.00421,0.000998,11.704,3.421,19192.9
v2,1,7,49,8806.3,0.6627,0.6646,0.02344,0.6201,0.7146,0.00192,0.3811,0.5538,0.061,0.5366,0.5376,0.02893,0.005038,21.64,4.652,406.9
v2,2,7,98,17610.2,0.6627,0.6628,0.01592,0.6325,0.6921,0.00014,0.3811,0.5064,0.05913,0.5366,0.5368,0.01965,0.003563,19.973,4.469,881.7
v2,5,7,245,44027.5,0.6627,0.6654,0.00901,0.6483,0.6824,0.00273,0.3811,0.4434,0.04369,0.5366,0.5403,0.011,0.002253,15.988,3.999,2753.7
v2,10,7,490,88068.1,0.6627,0.6639,0.00752,0.6482,0.6764,0.00126,0.3811,0.4081,0.02959,0.5366,0.5379,0.00936,0.001593,22.275,4.72,3953.6
v2,25,7,1225,220156.1,0.6627,0.6641,0.00409,0.656,0.672,0.00144,0.3811,0.3863,0.01254,0.5366,0.5386,0.00497,0.001008,16.474,4.059,13364.1
v2,50,7,2450,440288.8,0.6627,0.6649,0.00301,0.6595,0.6704,0.00221,0.3811,0.3829,0.00296,0.5366,0.5391,0.00384,0.000713,17.88,4.228,24624.7
v2,1,9,81,14560.1,0.6627,0.6642,0.02126,0.6231,0.7056,0.00155,0.3811,0.5266,0.05831,0.5366,0.5373,0.0266,0.003918,29.436,5.425,494.6
v2,2,9,162,29111.0,0.6627,0.6652,0.01471,0.6332,0.6921,0.00248,0.3811,0.4707,0.04601,0.5366,0.5386,0.01789,0.002771,28.166,5.307,1033.6
