version,W,overall_accuracy,macro_f1,mean_iou,kappa,n_windows,windows_per_cell,edge_discarded_px,edge_discarded_frac
v2,1,0.6575,0.3786,0.2975,0.5309,17456724,113575.6,0,0.0
v2,3,0.6863,0.3956,0.3157,0.5639,1929875,12544.0,104653,0.006
v2,5,0.7066,0.4056,0.327,0.5887,690843,4489.0,207987,0.0119
v2,7,0.7228,0.4134,0.3358,0.6077,354653,2304.0,104653,0.006
v2,9,0.7358,0.4188,0.3426,0.6226,210764,1369.0,413731,0.0237
v3,1,0.6061,0.3712,0.2899,0.4831,17456724,113575.6,0,0.0
v3,3,0.6324,0.3891,0.309,0.5119,1929875,12544.0,104653,0.006
v3,5,0.6497,0.3989,0.3202,0.532,690843,4489.0,207987,0.0119
v3,7,0.6637,0.406,0.3284,0.5473,354653,2304.0,104653,0.006
v3,9,0.6749,0.4121,0.3355,0.5592,210764,1369.0,413731,0.0237
v4,1,0.5078,0.2433,0.1632,0.3191,17456724,113575.6,0,0.0
v4,3,0.533,0.2525,0.1714,0.3419,1929875,12544.0,104653,0.006
v4,5,0.5511,0.2601,0.1783,0.3624,690843,4489.0,207987,0.0119
v4,7,0.5675,0.2667,0.1844,0.38,354653,2304.0,104653,0.006
v4,9,0.581,0.2705,0.1886,0.3938,210764,1369.0,413731,0.0237
v5,1,0.5642,0.3596,0.2784,0.4415,17456724,113575.6,0,0.0
v5,3,0.589,0.3764,0.2961,0.4678,1929875,12544.0,104653,0.006
v5,5,0.6061,0.386,0.3068,0.4871,690843,4489.0,207987,0.0119
v5,7,0.6199,0.3935,0.3152,0.5016,354653,2304.0,104653,0.006
v5,9,0.6308,0.3993,0.3221,0.5127,210764,1369.0,413731,0.0237
v6,1,0.186,0.1032,0.058,0.0585,17456724,113575.6,0,0.0
v6,3,0.2372,0.1156,0.0672,0.0836,1929875,12544.0,104653,0.006
v6,5,0.2389,0.1188,0.0689,0.0877,690843,4489.0,207987,0.0119
v6,7,0.2373,0.1197,0.0693,0.0892,354653,2304.0,104653,0.006
v6,9,0.2358,0.1207,0.0698,0.0912,210764,1369.0,413731,0.0237
