version,W,cls,n_retained,n_dropped,frac_dropped,rmse,mae,bias,corr
v2,3,Harvest,61620,1868255,0.9681,0.7064,0.6075,-0.0217,-0.5088
v2,3,Development,34862,1895013,0.9819,0.5676,0.4674,0.3928,-0.2786
v2,3,Forest,1259632,670243,0.3473,0.4554,0.2864,-0.1412,0.3533
v2,3,Urban,219887,1709988,0.8861,0.4913,0.3956,0.249,0.3097
v2,3,Water,194194,1735681,0.8994,0.2499,0.1054,0.0064,0.7346
v2,3,Agriculture,432332,1497543,0.776,0.4135,0.2643,-0.0585,0.4969
v2,3,Grass/Shrub,527729,1402146,0.7265,0.596,0.4902,0.0334,-0.1749
v2,3,Wetland,467353,1462522,0.7578,0.5577,0.4464,-0.1065,0.0047
v2,3,Beaver,230901,1698974,0.8804,0.6523,0.5605,0.5549,-0.073
v2,3,Insect/Disease,81199,1848676,0.9579,0.7003,0.6047,0.4786,-0.4842
v2,5,Harvest,29992,660851,0.9566,0.5802,0.4448,-0.0165,-0.3224
v2,5,Development,19847,670996,0.9713,0.4107,0.2943,0.2477,-0.1599
v2,5,Forest,489224,201619,0.2918,0.405,0.2567,-0.1301,0.5047
v2,5,Urban,107839,583004,0.8439,0.3743,0.2821,0.1821,0.4941
v2,5,Water,78746,612097,0.886,0.208,0.0915,0.0057,0.8634
v2,5,Agriculture,176403,514440,0.7447,0.3463,0.2231,-0.0515,0.6598
v2,5,Grass/Shrub,247647,443196,0.6415,0.4815,0.3653,0.0253,-0.0018
v2,5,Wetland,219216,471627,0.6827,0.4465,0.3295,-0.0812,0.1831
v2,5,Beaver,113724,577119,0.8354,0.5201,0.4072,0.4033,-0.0375
v2,5,Insect/Disease,39037,651806,0.9435,0.5793,0.4495,0.3564,-0.3585
v2,7,Harvest,19503,335150,0.945,0.4992,0.3497,-0.0127,-0.2248
v2,7,Development,14198,340455,0.96,0.3243,0.2106,0.1776,-0.1087
v2,7,Forest,265892,88761,0.2503,0.3734,0.2371,-0.1229,0.5767
v2,7,Urban,69696,284957,0.8035,0.3082,0.2203,0.1449,0.5818
v2,7,Water,45306,309347,0.8723,0.1807,0.0807,0.0052,0.9097
v2,7,Agriculture,99704,254949,0.7189,0.3036,0.1956,-0.0469,0.7348
v2,7,Grass/Shrub,152195,202458,0.5709,0.416,0.2993,0.0211,0.0822
v2,7,Wetland,134903,219750,0.6196,0.383,0.2674,-0.0678,0.2669
v2,7,Beaver,72669,281984,0.7951,0.4429,0.3268,0.3239,-0.0215
v2,7,Insect/Disease,24818,329835,0.93,0.505,0.3627,0.2877,-0.2956
v2,9,Harvest,14156,196608,0.9328,0.4401,0.2852,-0.0112,-0.1657
v2,9,Development,10936,199828,0.9481,0.2709,0.1627,0.1378,-0.0789
v2,9,Forest,164756,46008,0.2183,0.3513,0.2229,-0.1178,0.6187
v2,9,Urban,49267,161497,0.7662,0.2659,0.1823,0.1218,0.6306
v2,9,Water,30090,180674,0.8572,0.1603,0.0717,0.0046,0.9333
v2,9,Agriculture,63916,146848,0.6967,0.2736,0.1757,-0.0436,0.7785
v2,9,Grass/Shrub,103135,107629,0.5107,0.3726,0.2583,0.0184,0.1321
v2,9,Wetland,91531,119233,0.5657,0.342,0.2291,-0.0593,0.3167
v2,9,Beaver,50865,159899,0.7587,0.3918,0.2775,0.2751,-0.0114
v2,9,Insect/Disease,17387,193377,0.9175,0.4541,0.3071,0.244,-0.2561
v3,3,Harvest,87720,1842155,0.9545,0.6749,0.5724,0.1238,-0.4974
v3,3,Development,51765,1878110,0.9732,0.5984,0.4998,0.4482,-0.2635
v3,3,Forest,1250172,679703,0.3522,0.5264,0.3571,-0.2356,0.2772
v3,3,Urban,203986,1725889,0.8943,0.4693,0.3759,0.2067,0.329
v3,3,Water,196577,1733298,0.8981,0.2513,0.1066,0.0196,0.7356
v3,3,Agriculture,436857,1493018,0.7736,0.4099,0.2593,-0.0292,0.4912
v3,3,Grass/Shrub,492183,1437692,0.745,0.5927,0.4872,-0.0215,-0.1713
v3,3,Wetland,459036,1470839,0.7621,0.5561,0.4441,-0.1221,0.0188
v3,3,Beaver,343673,1586202,0.8219,0.7487,0.6715,0.6677,-0.0849
v3,3,Insect/Disease,108879,1820996,0.9436,0.7695,0.685,0.5915,-0.4891
v3,5,Harvest,44225,646618,0.936,0.5399,0.4045,0.0873,-0.3168
v3,5,Development,28040,662803,0.9594,0.4486,0.3299,0.2963,-0.1615
v3,5,Forest,486580,204263,0.2957,0.4764,0.3216,-0.2166,0.4119
v3,5,Urban,100791,590052,0.8541,0.3531,0.2655,0.1502,0.5153
v3,5,Water,79921,610922,0.8843,0.2087,0.0923,0.0172,0.8638
v3,5,Agriculture,177880,512963,0.7425,0.3438,0.219,-0.0259,0.656
v3,5,Grass/Shrub,232428,458415,0.6636,0.4768,0.3613,-0.0165,0.0014
v3,5,Wetland,216143,474700,0.6871,0.444,0.3264,-0.0928,0.1975
v3,5,Beaver,154016,536827,0.7771,0.6392,0.5361,0.5333,-0.0578
v3,5,Insect/Disease,49692,641151,0.9281,0.6611,0.5366,0.4639,-0.3694
v3,7,Harvest,29391,325262,0.9171,0.4572,0.3111,0.0678,-0.2241
v3,7,Development,19293,335360,0.9456,0.3653,0.2461,0.2213,-0.1184
v3,7,Forest,264738,89915,0.2535,0.4447,0.2983,-0.2044,0.4769
v3,7,Urban,65657,288996,0.8149,0.2887,0.2055,0.1187,0.6028
v3,7,Water,46093,308560,0.87,0.1812,0.0811,0.0154,0.9097
v3,7,Agriculture,100427,254226,0.7168,0.3018,0.1922,-0.0236,0.7323
v3,7,Grass/Shrub,143578,211075,0.5952,0.4106,0.2948,-0.0137,0.0848
v3,7,Wetland,133247,221406,0.6243,0.3808,0.2648,-0.0773,0.2801
