Code,Class,Type,Definition
1,Harvest,Change,Forest harvest or clearcut between the two dates
2,Development,Change,Conversion to developed or built-up land between the two dates
3,Stable forest,Stable,"Forest, unchanged between the two dates"
4,Stable urban,Stable,"Developed or built-up land, unchanged between the two dates"
5,Stable water,Stable,"Open water, unchanged between the two dates"
6,Stable agriculture,Stable,"Cultivated or agricultural land, unchanged between the two dates"
7,Stable grass/shrub,Stable,"Grassland or shrubland, unchanged between the two dates"
8,Stable wetland,Stable,"Wetland, unchanged between the two dates"
9,Beaver,Change,Beaver-induced flooding between the two dates
10,Insect/disease mortality,Change,Forest mortality from insect or disease between the two dates
